timestamp,text,aspect,sentiment,urgency
2025-08-14T03:58:32,Battery drains fast and the phone overheats.,performance,positive,0.2
2025-08-14T03:58:32,Battery drains fast and the phone overheats.,battery,negative,0.2
2025-08-14T03:58:37,"Great price and fast delivery, but the screen is dim.",screen,positive,0.2
2025-08-14T03:58:37,"Great price and fast delivery, but the screen is dim.",performance,positive,0.2
2025-08-14T03:58:37,"Great price and fast delivery, but the screen is dim.",shipping,positive,0.2
2025-08-14T03:58:37,"Great price and fast delivery, but the screen is dim.",price,positive,0.2
2025-08-14T03:58:42,The camera is awesome; shipping was on time.,shipping,positive,0.2
2025-08-14T03:58:42,The camera is awesome; shipping was on time.,camera,neutral,0.2
2025-08-14T03:58:47,"Defective charger, doesn't work at all. Requesting refund.",battery,negative,0.8
2025-08-14T03:58:47,"Defective charger, doesn't work at all. Requesting refund.",accessories,negative,0.8
2025-08-14T03:58:47,"Defective charger, doesn't work at all. Requesting refund.",build_quality,negative,0.8
2025-08-14T03:58:52,Solid build quality and loud speakers.,audio,positive,0.2
2025-08-14T03:58:52,Solid build quality and loud speakers.,build_quality,positive,0.2
