ts,text,reason,sentiment,urgency,aspects
2025-08-15T02:03:01.862159,"La entrega llegó tarde y el producto vino roto, quiero devolución",negative_high_urgency,negative,high,quality|shipping
2025-08-15T02:05:26.284368,The product arrived late and the quality was terrible,negative_high_urgency,negative,high,quality
2025-08-15T02:07:50.161721,The packaging was damaged and the item was broken,negative_high_urgency,negative,high,quality
2025-08-14T14:21:35,Arrived late and box was damaged — too expensive,negative_high_urgency,negative,high,price
2025-08-14T14:44:57,Arrived late and box was damaged,negative_high_urgency,negative,high,
2025-08-14T14:18:32,The item was broken and I want a refund,negative_high_urgency,negative,high,quality
2025-08-14T14:51:31,The item was broken and I want a refund — feels solid,negative_high_urgency,negative,high,quality
2025-08-14T14:17:48,Arrived late and box was damaged — cheap build for the price,negative_high_urgency,negative,high,price
2025-08-14T14:05:01,The item was broken and I want a refund — late delivery,negative_high_urgency,negative,high,quality|shipping
2025-08-14T15:15:18,It works as expected — late delivery,negative_high_urgency,negative,high,shipping
2025-08-14T15:04:37,Arrived late and box was damaged — worth the cost,negative_high_urgency,negative,high,price
2025-08-14T15:07:47,Arrived late and box was damaged — worth the cost,negative_high_urgency,negative,high,price
2025-08-14T15:56:41,Great value for the price — late delivery,negative_high_urgency,negative,high,price|shipping
2025-08-14T15:00:45,Arrived late and box was damaged — late delivery,negative_high_urgency,negative,high,shipping
2025-08-14T15:32:21,Arrived late and box was damaged — excellent build,negative_high_urgency,negative,high,
2025-08-14T15:55:45,The item was broken and I want a refund,negative_high_urgency,negative,high,quality
2025-08-14T15:30:18,Arrived late and box was damaged — damaged packaging,negative_high_urgency,negative,high,
2025-08-14T16:35:32,The item was broken and I want a refund — stopped working,negative_high_urgency,negative,high,quality
2025-08-14T16:01:51,The item was broken and I want a refund,negative_high_urgency,negative,high,quality
2025-08-14T16:26:50,Arrived late and box was damaged — too expensive,negative_high_urgency,negative,high,price
2025-08-14T16:23:58,Arrived late and box was damaged — feels solid,negative_high_urgency,negative,high,
2025-08-14T16:14:41,Arrived late and box was damaged — excellent build,negative_high_urgency,negative,high,
2025-08-14T16:19:57,Arrived late and box was damaged,negative_high_urgency,negative,high,
2025-08-14T16:02:41,The product is okay — late delivery,negative_high_urgency,negative,high,shipping
2025-08-14T16:02:55,The item was broken and I want a refund,negative_high_urgency,negative,high,quality
2025-08-14T17:41:14,Arrived late and box was damaged — worth the cost,negative_high_urgency,negative,high,price
2025-08-14T17:14:25,The item was broken and I want a refund — late delivery,negative_high_urgency,negative,high,quality|shipping
2025-08-14T17:01:23,Arrived late and box was damaged — overpriced,negative_high_urgency,negative,high,price
2025-08-14T17:47:05,Arrived late and box was damaged — fast shipping,negative_high_urgency,negative,high,shipping
2025-08-14T17:09:33,The item was broken and I want a refund,negative_high_urgency,negative,high,quality
2025-08-14T17:15:16,Arrived late and box was damaged — great price,negative_high_urgency,negative,high,price
2025-08-14T18:23:57,Arrived late and box was damaged,negative_high_urgency,negative,high,
2025-08-14T18:46:17,Camera is fantastic — late delivery,negative_high_urgency,negative,high,shipping
2025-08-14T18:52:31,The item was broken and I want a refund — stopped working,negative_high_urgency,negative,high,quality
2025-08-14T18:31:40,The item was broken and I want a refund — fast shipping,negative_high_urgency,negative,high,quality|shipping
2025-08-14T19:10:07,The item was broken and I want a refund — poor quality,negative_high_urgency,negative,high,quality
2025-08-14T19:20:49,Arrived late and box was damaged — feels solid,negative_high_urgency,negative,high,
2025-08-14T19:11:03,Arrived late and box was damaged,negative_high_urgency,negative,high,
2025-08-14T20:38:02,Arrived late and box was damaged,negative_high_urgency,negative,high,
2025-08-14T20:32:29,The item was broken and I want a refund,negative_high_urgency,negative,high,quality
2025-08-14T20:01:44,The item was broken and I want a refund — stopped working,negative_high_urgency,negative,high,quality
2025-08-14T20:29:04,Great value for the price — late delivery,negative_high_urgency,negative,high,price|shipping
2025-08-14T20:35:23,The item was broken and I want a refund — slow courier,negative_high_urgency,negative,high,quality|shipping
2025-08-14T20:57:28,Arrived late and box was damaged — late delivery,negative_high_urgency,negative,high,shipping
2025-08-14T20:42:53,Great value for the price — late delivery,negative_high_urgency,negative,high,price|shipping
